"DistC_10w_B4" "DistC_10w_C1" "DistC_10w_F6" "DistC_12w_A4" "DistC_12w_B1" "DistC_12w_E3" "DistC_14w_A3" "DistC_14w_C3" "DistC_14w_E4" "DistC_6w_A2" "DistC_6w_B2" "DistC_6w_F7" "DistC_6w_G3" "DistC_6w_G4" "DistC_6w_G5" "DistC_8w_B3" "DistC_8w_C2" "DistC_8w_D4"
"2610044O15Rik8" 19.73713 16.78195 12.227379 23.19346 26.74985 22.7696 20.30907 11.893045 15.75309 18.98665 10.754315 20.32148 23.83521 18.1614 11.111742 22.21162 20.80968 17.57856
"2610301B20Rik" 7.142738 5.9855 3.614019 5.266766 8.019669 6.709199 7.874027 2.72432 3.95579 6.380632 6.73509 6.527305 6.239584 6.710272 5.731305 6.752508 5.36267 5.263123
"2610318N02Rik" 6.51112 4.258048 4.86979 4.9609488 6.182275 4.313408 2.584053 2.54996 2.7737 2.257811 3.215217 3.076488 1.291896 2.166364 1.628429 3.726884 5.488606 4.214065
"2610507B11Rik" 36.5021232 52.5357504 88.313928 33.568232 34.196906 51.658172 74.935229 7.842689 14.207625 78.815566 86.100218 85.905207 75.420671 79.552373 74.583561 105.2979143 56.441228 90.04868
"2610528A11Rik" 462.5006 675.76055 781.83024 604.53638 777.84649 727.510826 664.57676 555.8261 471.80688 578.11828 840.1537 723.98496 414.614061 485.511656 553.20429 755.89776 948.63188 939.17131
"2610528J11Rik" 62.0979 61.74126 54.271466 104.22947 76.880136 66.786621 46.744128 63.884 71.863538 44.530377 43.44 50.986354 67.90454 59.666438 58.28016 40.117545 100.170018 64.36018
"2700049A03Rik" 0.61573 0.705876 1.801906 0.682661 0.928078 1.060909 2.83921 0.2318084 0.257867 3.31223 2.78859 4.09584 2.179554 3.047566 2.92159 3.60642 1.466034 2.79626
"2700062C07Rik" 14.967873 11.956967 11.365672 10.228316 9.882486 13.260345 13.909054 8.113897 10.511261 10.889821 11.513099 11.749115 11.914927 10.053103 8.131668 11.744257 13.986338 9.951754
"2700081O15Rik" 0.4061376 0.7180914 1.359101 1.1021429 1.450202 1.216429 2.1180943 0.209548 0.205295 3.2877385 1.93405 2.9323249 2.493729 2.975558 3.2878907 2.156933 1.7294295 0.8631582
"2700097O09Rik" 8.2425653 5.959337 5.5909596 4.67284 6.411939 5.45145 4.422629 4.6329054 2.60847654 4.932313 2.822496 6.1494813 4.453752 3.497148 3.781943 4.884557 5.164093 3.1380623
"2700099C18Rik" 5.453606 3.270794 2.677381 2.5923585 4.761366 4.105069 1.275462 6.227259 6.8444073 1.364261 0.814459 1.46011 0.653638 1.0412655 0.864449 1.4668573 2.861768 1.970785
"2810004N23Rik" 13.627281 13.183969 17.712256 12.357401 11.944046 12.610808 13.039819 6.196105 7.194244 12.287174 10.039884 13.028004 14.948099 13.711337 13.399565 14.93541 13.312111 11.470645
"2810006K23Rik" 5.5609034 4.965359 6.345311 5.851068 6.241443 5.2731155 4.9885 3.0963871 3.1842 5.8875406 5.0436982 7.075033 6.58539 4.57295 5.9659431 8.5999566 6.8680393 4.6297197
"2810021J22Rik" 1.590332 2.055939 3.3639 1.758067 2.078343 2.349644 4.42038 0.527818 0.893139 3.110709 2.803652 3.157042 2.631373 2.6784 2.078487 3.557359 2.604965 2.790802
"2810025M15Rik" 13.7451 12.1185 13.9991 11.2303 12.0982 11.0196 10.905 11.6351 14.2764 13.3061 10.3171 13.4036 11.722081 13.0617 11.5 12.6302 13.393 12.2716
"2810039B14Rik" 1.0025094 1.5401252 0.6866764 1.4180818 2.1012766 1.2731575 1.4630245 0.2107799 1.025224 2.104172 1.1750873 1.7216739 1.6632568 2.0516799 1.7340682 1.9305119 1.849465 1.1550467
