"";"logFC.6w";"logFC.8w";"logFC.10w";"logFC.12w";"logFC.14w";"logCPM";"LR";"PValue";"FDR";"logFC.WT";"module"
"Klra2";-0,0523326261395921;1,9805061466125;5,04519315821635;2,78504528710976;5,12130543721228;2,9790524120662;182,201371383126;1,81239198514977e-37;2,14072386651749e-35;0;1
"Gm14434";1,4691733018431;2,26035101060343;4,10969014788396;4,19477939480808;5,85023913294599;3,44136600226993;181,243085637297;2,90364517502026e-37;3,40499398221801e-35;0;2
"Hspe1";0,201357578724671;0,691245961213589;2,8456383101112;2,02274154090081;4,26828631626716;5,88224352486971;181,026085056554;3,23067118882839e-37;3,76142431270734e-35;0;2
"Igkv11-125";1,20173143380763;2,51350950746301;6,80047124766884;2,08176730748692;2,15209483400648;1,09092245859736;179,043305186469;8,56549728923141e-37;9,90195785918241e-35;0;1
"Gm6158";-2,4926058033677;-2,4926058033677;5,02626254327888;-2,4926058033677;6,9898842989783;-0,731547367191821;178,317775854199;1,22372418273318e-36;1,40469747736274e-34;0;1
"Spink4";0,262741188096977;0,834392126417114;1,56010505636283;2,01584140431007;4,44548950902656;9,02552183210439;176,243116026279;3,39353241945464e-36;3,86815233825948e-34;0;2
"Gm4070";0,288309710558733;3,226089142153;4,65921141403653;2,75629448295924;2,21950900041406;6,66877036071683;174,362990494907;8,55083535133298e-36;9,67907057130053e-34;0;1
"Pla2g5";-0,115363069710858;1,49247846741654;4,10650800574625;3,50849787885494;3,57517942811454;4,6618567131798;173,81361490626;1,12013828612732e-35;1,25918993543968e-33;0;1
"Prss2";1,82877612376855;3,53849966143837;7,64591841826652;4,07492913770156;9,9139791412988;-0,322936319686869;173,345571498005;1,40983905090963e-35;1,5739983924539e-33;0;1
"Upp1";0,134115422013136;3,72881363946815;5,01494178347732;4,12913894022897;4,13715947679361;9,66654564401917;172,376555637135;2,26975421371802e-35;2,51680229140161e-33;0;1
"7530428D23Rik";-0,279019393114581;0,857481044696962;1,38170778828846;2,37176099639943;3,99946071878649;4,6963157192329;171,224899989045;3,99706580338521e-35;4,40217382399858e-33;0;2
"Tnfsf10";-0,526759465223626;2,80567409101452;4,20511650074981;3,38918485181994;2,19547360979722;6,7026652793608;171,087889615601;4,27540540687457e-35;4,67712135114467e-33;0;1
"Rpl22l1";0,257193019636922;0,470628463916139;2,01356971234749;2,00614743678928;4,23194263100975;8,03890398292351;169,382525087551;9,88195150627161e-35;1,07383873034818e-32;0;2
"Hp";-1,28888846402689;-1,16601745069992;2,90222075380844;-0,448066362117749;3,55707998648815;2,65887693327718;169,039962264219;1,16930003009163e-34;1,26222453579428e-32;0;1
"Gchfr";0,124081987410666;2,58672366748336;3,41540535554947;3,43856347630958;5,38772598963197;3,25796840071354;168,598044501844;1,45278712893692e-34;1,55792303958368e-32;0;2
"Jchain";2,34342141238444;3,05320550630266;4,21459146597859;3,87247849835192;5,88979597050218;10,6810608322319;167,514011742271;2,47425423308057e-34;2,63597019602701e-32;0;1
"Lsm5";0,230352890389745;0,725998655176259;2,26480988106149;2,23618960530259;4,15132222379144;4,92508411032734;166,775243447904;3,5564829259851e-34;3,76432933075046e-32;0;2
