"";"logFC.W1";"logFC.W2";"logFC.W3";"logFC.W4";"logFC.W5";"logFC.W6";"logFC.W7";"logCPM";"LR";"PValue";"FDR";"logFC.W0";"module"
"Tnfrsf1b";0,256096293962467;0,726518217085065;1,1883171209661;1,8619316085049;3,13460233294382;3,02518367908442;4,25443629746382;7,03366409689465;604,206330933225;3,02462207119687e-126;4,75531082033572e-124;0;2
"Gsdmc4";0,944433933605408;0,80530695752593;1,87236431271497;-0,054457758719031;-1,08475457108478;0,167410188418435;-6,0007908630374;8,50069891863384;602,778134091274;6,14100138765467e-126;9,55928948680265e-124;0;7
"Fam189a2";-0,532277866884495;-1,07985763231321;-1,49234606617815;-3,11599342163156;-3,00431988206878;-3,9748258354263;-4,58768772771227;5,16857888232563;601,079813243146;1,4255147309014e-125;2,19724927443449e-123;0;6
"Slc30a10";0,237472476763957;0,0587397815972822;-1,19309087528996;-4,93750746446553;-4,64066879750314;-7,41174638932455;-6,880659889311;3,08152942621038;588,37798597468;7,74510401753895e-123;1,18221869285192e-120;0;7
"Ciita";0,132195179931838;3,84420240030417;4,34997215077609;4,7261679066753;4,26336423372673;4,68409445069786;4,35950161935944;5,40026632894522;587,329572108609;1,30243981567638e-122;1,96893834442924e-120;0;1
"Il1a";-0,0734375258399774;0,679466920463878;0,824356654872317;3,287589802439;5,64091625574276;4,19649810518853;6,75803657315049;2,25233179188699;581,832797402967;1,98697745061829e-121;2,97516756939245e-119;0;3
"Ccl5";-0,179933534566133;3,6612473180094;3,72718347788261;5,4566076292755;5,23407411441294;5,76211668028508;5,88070397796056;3,80364847080317;578,172751910714;1,21936560230024e-120;1,80857226409097e-118;0;2
"Wfdc18";2,07615694845073;1,40658520395831;1,4290578938457;2,51342565277151;4,4933680803877;4,36673402426976;5,38773991076085;3,97827281522385;576,712189928736;2,51509416100484e-120;3,69554302797366e-118;0;3
"Spink6";0;0;1,8975119671241;7,26888438473266;11,2587183198229;9,8773033402136;10,4127425681647;1,2884817441045;576,155477685073;3,31434589866238e-120;4,82482835358981e-118;0;2
"Olfr56";0,725531811526139;5,31791711177615;5,68152742100864;6,7803548143134;6,88604274731618;7,40307502925624;6,63303939966207;3,56508818571976;567,955859999795;1,92936287535978e-118;2,782884690496e-116;0;2
"Slc4a4";0,172810572808143;0,337524060428868;-0,175114787052529;-1,74374152393621;-2,49833538831353;-3,43552734709369;-3,86469262526288;7,26891027026954;567,485924951746;2,4353616467608e-118;3,48079598276121e-116;0;7
"Casp14";0,291662994733341;-0,422614013360219;-1,15996585848288;-1,67029663717176;-2,06536308145073;-4,65445419522297;-3,45412799371987;5,35354381099879;566,94465109993;3,18469000516635e-118;4,51078344695724e-116;0;7
"Ly6c1";1,0145671224095;3,9890683178781;3,76855884610691;4,94413816372126;5,2068037180199;4,99802477694436;4,91209847199086;7,79541243547488;563,370390153159;1,87225844420782e-117;2,62818279105673e-115;0;1
"Clca3b";0,59034390469894;0,107018211481994;1,30641912601531;1,49183408868242;3,07610981783254;3,06339891375598;4,53454208704352;9,64780837339372;558,60616825671;1,98479493487115e-116;2,76149964301276e-114;0;3
"Gm1123";-0,102049152354335;-0,591577257393762;-0,559736632127975;-1,27764507788483;-2,16574437999947;-4,12855005875657;-4,08184241886475;6,31339962474562;558,195319773713;2,4329561594735e-116;3,35534532800371e-114;0;7
"Cfd";-0,691975976379861;-0,988634169745189;-1,51078363428083;-2,39608634207094;-8,33700004687099;-1,16311869489951;-4,44105646313222;4,30633364793544;558,047054847678;2,61843750156712e-116;3,57974559996855e-114;0;6
"Gm4070";0,466051155633608;2,97547793423787;2,90143914816452;4,11341477264723;3,9210046496991;4,49051186350584;4,24787101971469;5,78355069869981;555,580562005029;8,88878064824026e-116;1,20473628751408e-113;0;2
"Clec7a";0,528528046187643;1,6223321451065;2,45136216939838;4,0724418197442;4,22386082029305;4,50458158285967;3,69278683215945;4,75310982120496;549,642788174805;1,68495931878517e-114;2,26418208631969e-112;0;2
"Gbp6";0,498619861216431;5,79610073478533;4,32366221989702;5,22332967397822;4,76889766313864;5,12083997609789;4,37159454645366;4,30507220773152;544,135329203833;2,58003129911737e-113;3,4375637359935e-111;0;1
"Gabrp";-0,280522261264277;0,728687190611076;0,599594931242346;2,36325806886024;3,07947998540402;3,1621639013551;3,72788238567294;4,9065382440399;540,826391995227;1,32908697255181e-112;1,7559584355008e-110;0;2
"Acod1";-0,218989852167878;2,47486013260322;3,03519005368659;5,18081885405307;6,24675013874402;5,82367397077997;6,14301232596905;2,89027724884216;534,768058614321;2,67250363905065e-111;3,50142518442953e-109;0;2
"Sema7a";-0,0396263993518322;0,349312167469453;0,645200219788361;1,6950679375092;3,79940938500953;2,63771156915904;4,00708498288354;4,12466240599765;534,397345843983;3,21120081759949e-111;4,17243795490075e-109;0;3
"Cfh";-0,316584442804395;-0,0469571720566723;0,0773757474807141;0,342243435695645;1,54424507104906;1,00542986623869;3,56326892374984;4,79248918041333;533,818793666514;4,27687743280686e-111;5,51156286873685e-109;0;3
"Adgrf1";1,09736940044012;1,08020823382198;2,18050357084127;2,03580000474839;3,75132635181207;3,5466669866389;4,66948186281475;4,63102203463533;532,868700096127;6,8471548101418e-111;8,75211121341864e-109;0;2
"Slfn4";0,174107112028739;1,8778629379167;1,37072191372746;3,96501374637783;4,01843104903801;3,28446760626023;3,42398107673152;4,97512702015717;527,432778192476;1,01114847196935e-109;1,28203840937921e-107;0;2
"Cela1";0,18896917890027;-0,721337891429742;-1,52874384712802;-2,29095502104144;-2,51402631624907;-3,92254887847;-4,17827123653757;8,16023073154329;527,100016292653;1,19231400642731e-109;1,49964486472401e-107;0;6
"Shisa2";-0,369002681863796;-0,352805014133128;-0,81357386727483;-1,51003972938872;-2,3307487348659;-4,07163673869554;-3,78557694651445;6,28236328050512;526,457040095703;1,63942277439913e-109;2,04563530627803e-107;0;7
"Gsta1";-0,438876803643638;-0,284908235546366;-0,160913964116941;2,57939149338097;2,6883184664813;2,96504838856485;2,69314082610953;4,90208944254247;525,171850290912;3,09829489260796e-109;3,83554270091199e-107;0;2
"Cxcl1";1,89367348520815;2,9692190590838;4,26427625745053;6,06752124110473;7,67587246455803;6,93301698665326;8,63415041823462;2,21464176978585;523,67574280028;6,49999083986761e-109;7,98381687378114e-107;0;2
"Cwh43";0,566520826311945;-0,32842444409028;0,270633436512458;1,84447197330304;3,00112140008041;2,79215962669565;3,20815856568237;6,75688086176421;522,376759530416;1,23679346616137e-108;1,50735402131699e-106;0;3
"H2-DMb1";0,163051120727534;3,57424649756761;4,29954640961903;4,93263137989544;4,65341256246339;4,35549538392117;4,17840963314419;4,67281237616771;519,779481916987;4,47608033913974e-108;5,41330269938115e-106;0;1
