"";"mouse";"human";"mousemodule";"Taman_UC_logFC";"Lloyd_UC_logFC";"Lloyd_CD_logFC";"Taman_UC_reg";"Lloyd_UC_reg";"Lloyd_CD_reg"
"17609";"Per3";"PER3";NA;-1,04740049547013;NA;NA;"down";NA;NA
"15051";"Myo1f";"MYO1F";1;1,04714036627551;NA;NA;"up";NA;NA
"5145";"Dnajb11";"DNAJB11";NA;1,04629243150863;NA;NA;"up";NA;NA
"8521";"Hhex";"HHEX";NA;1,04585536940695;NA;NA;"up";NA;NA
"20042";"Rab17";"RAB17";NA;-1,04540841686328;NA;NA;"down";NA;NA
"20769";"Robo1";"ROBO1";NA;1,04441698923267;NA;NA;"up";NA;NA
"6822";"Fyn";"FYN";NA;1,0442643285059;NA;NA;"up";NA;NA
"13728";"Matn2";"MATN2";NA;-1,04417209248805;NA;NA;"down";NA;NA
"15207";"Nbeal2";"NBEAL2";NA;1,04390376862534;NA;NA;"up";NA;NA
"6483";"Fgfr3";"FGFR3";8;-1,04289925660454;NA;NA;"down";NA;NA
"280";"Adam22";"ADAM22";NA;-1,04252853706478;NA;NA;"down";NA;NA
"15117";"Naaladl2";"NAALADL2";NA;-1,04115409548072;NA;NA;"down";NA;NA
"17882";"Pkmyt1";"PKMYT1";NA;1,04065184171029;NA;NA;"up";NA;NA
"13116";"Lpin1";"LPIN1";NA;1,04059962278338;NA;NA;"up";NA;NA
"5816";"Eps8l1";"EPS8L1";NA;1,04038605330958;NA;NA;"up";NA;NA
"15070";"Myom1";"MYOM1";NA;-1,04024866893903;NA;NA;"down";NA;NA
"13647";"Map3k8";"MAP3K8";NA;1,03996758177808;NA;NA;"up";NA;NA
"22794";"Sptbn2";"SPTBN2";7;1,03950555864837;NA;NA;"up";NA;NA
"23966";"Tlr8";"TLR8";NA;1,03732298258276;NA;NA;"up";NA;NA
"15915";"Nxpe2";"NXPE2";7;-1,03714155806593;NA;NA;"down";NA;NA
"11458";"Irf4";"IRF4";NA;1,03598559100215;NA;NA;"up";NA;NA
"3968";"Csmd1";"CSMD1";NA;-1,03596004300479;NA;NA;"down";NA;NA
