"";"logFC.D10";"logFC.D20";"logFC.D30";"logFC.D40";"logFC.D50";"logFC.D60";"logCPM";"LR";"PValue";"FDR";"logFC.D0";"module"
"Lat";1,76720299571744;5,6395429673112;6,72185656181002;7,04099228669525;7,42654335531417;8,53612538716326;2,33136825271968;249,229199775291;5,99300541235383e-51;9,80140264123595e-49;0;1
"Ly6m";-0,19349715826846;0,374748199532424;0,314117270394852;1,24263218199429;1,49666741197248;2,98840466121596;7,16472146300557;247,133161277148;1,68080356076553e-50;2,72027551287647e-48;0;2
"Mcpt2";0,482631986610031;3,45420272608599;5,60525233958077;5,17387634087501;4,6016884452786;5,96972974580766;3,12722533668326;245,89541156298;3,09004691923586e-50;4,94949061692449e-48;0;1
"Srgn";-0,175952430414462;1,22955757976479;2,00326290542859;2,79017010121065;2,65197031343131;3,64240040215935;4,39878915520974;245,473650111065;3,80251080998256e-50;6,02853167905092e-48;0;1
"Psmb8";0,55224639134344;2,59048990701069;2,63492256179099;2,55392077267544;2,80661591180467;3,83874214547371;7,85692053209569;244,497539851267;6,14607113668503e-50;9,64560679299751e-48;0;1
"Emp1";-0,39975560307614;0,278752276685732;0,247684206890892;1,69432638758252;1,86478433628316;2,80977885765148;7,31478969253576;243,84690552393;8,46419182338475e-50;1,31508148359929e-47;0;2
"Nkg7";1,51475974294159;4,77162472488734;5,74985588423622;5,91212898804752;6,04059856249721;7,17215039537989;2,70630661020948;242,62485827563;1,54390884422945e-49;2,37502096166267e-47;0;1
"Slc51b";-0,0372851160281507;0,44923559551035;0,556266839697175;2,56081056605056;0,994053113153631;3,30714417657145;4,2194200865268;242,191943001246;1,91024733453368e-49;2,90975616045587e-47;0;2
"Nfkbiz";1,17339950979481;1,39669350497662;2,55649575048849;1,93454554495956;2,11448685733991;3,63362564548438;5,88206489963466;240,264748873021;4,92825017956148e-49;7,43400223687832e-47;0;1
"Duoxa2";0,0281800599923461;1,48807475627714;1,66749631385869;2,10643149796737;1,92129665814218;3,35650876341831;6,85194294346957;239,898457082955;5,90089425726396e-49;8,8155955841452e-47;0;2
"Tap1";0,74486415474051;2,51987272611077;2,70580445013231;2,358317389852;2,96799175443029;3,75846305760665;7,30369263447998;239,014956791636;9,1114919050546e-49;1,34824047360794e-46;0;1
"Isg15";0,936626670926634;2,63498611182938;2,18451645124175;2,57184690497749;3,4152988908027;3,53638316119267;5,49711475710332;237,745588898819;1,70075911867918e-48;2,49289570065268e-46;0;1
"Nlrc5";1,14749580265051;3,94979840087978;4,25822742872573;3,92626792575746;4,7671296235729;5,33699020083155;3,47180313298424;235,344348942461;5,53761291953285e-48;8,04092447951233e-46;0;1
"Ccl8";0,732976695729055;3,3094853792236;3,65144746767854;3,20794202720645;3,48450474130221;4,67022998543231;3,9398711677705;235,141454839244;6,11839781005908e-48;8,80199507174888e-46;0;1
